id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
119,,St.Anton am Arlberg,47.13139,10.26667,1304.1,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
120,,Ferlach,46.53111,14.31417,459.1,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
121,,Nauders,46.89111,10.49694,1330.2,2004-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
122,,Kanzelhöhe,46.67722,13.90194,1520.0,2002-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
124,,Seckau,47.27083,14.77861,872.0,2002-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
125,,Kohlreithberg,48.175835,15.935278,490.0,2001-07-01 00:00:00+00:00,2010-06-17 23:59:59+00:00,Niederösterreich,True,True,,,,,ja
126,,Haiming,47.25972,10.88944,659.0,2007-08-20 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
127,,Rinn,47.24917,11.50389,924.1,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
129,,Lofer Ort,47.58444,12.69528,622.0,2000-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
130,,Sillian,46.74644,12.42358,1081.4,1999-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
131,,Salzburg Flughafen,47.78944,13.00861,430.0,1939-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
132,,Bad Ischl,47.70619,13.64714,506.7,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
133,,Fraxern,47.31417,9.67444,807.0,2004-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
134,,Gänserndorf Stadt,48.33778,16.71361,163.0,2004-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
136,,Umhausen,47.13917,10.92889,1035.0,2003-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
137,,Döllach,46.95806,12.9025,1071.0,2004-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
138,,Prutz,47.06861,10.66472,871.0,2004-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
139,,Steinach am Brenner,47.09833,11.46611,1036.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
140,,Bad Tatzmannsdorf,47.33797,16.22497,347.2,2004-09-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,ja
141,,Ried im Innkreis,48.21722,13.475,427.0,1998-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
142,,Kufstein,47.57528,12.16278,490.0,2003-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
144,,Micheldorf,47.88388,14.117222,446.0,2008-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
145,,Salzburg Freisaal,47.79111,13.05417,419.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
146,,Holzgau,47.25758,10.33867,1092.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
147,,Gröbming,47.44678,13.90422,765.5,2001-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
148,,Weitra,48.70222,14.89861,571.9,2005-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
149,,Mallnitz,46.99194,13.16667,1197.0,2002-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
150,,Spittal an der Drau,46.7905,13.48725,541.7,2004-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
151,,Achenkirch,47.49944,11.70667,931.0,1998-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
152,,Laa an der Thaya Kläranlage,48.73139,16.38972,184.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
153,,Präbichl,47.52158,14.95416,1215.2,2000-09-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
154,,Fürstenfeld,47.03083,16.08083,271.0,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
155,,Oberndorf an der Melk,48.06239,15.21381,295.1,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
156,,St.Johann im Pongau,47.31981,13.18672,634.2,2008-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,False,False,,,,,ja
157,,Kollerschlag,48.60278,13.83917,714.0,2008-06-17 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
158,,Hohenau,48.605835,16.913055,151.0,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
159,,Reichersberg,48.33111,13.37611,351.0,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
160,,Waizenkirchen,48.32656,13.86458,400.2,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
161,,Reichenau am Mühlkreis,48.45917,14.34556,689.1,2008-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
162,,Aspach,48.18306,13.3,427.0,2009-07-08 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
163,,Mondsee,47.85083,13.34722,480.5,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
164,,Berndorf,47.93917,16.10111,337.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
165,,Abtenau,47.56667,13.34333,709.0,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
166,,Hall bei Admont,47.59444,14.49083,637.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
167,,Mürzzuschlag,47.60222,15.67278,705.2,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
169,,Pottschach,47.70083,16.00806,416.4,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
170,,Aspang,47.575,16.10139,454.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
171,,Dornbirn,47.4325,9.72556,407.3,1992-04-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
172,,Schoppernau,47.31139,10.01778,839.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
173,,Schröcken,47.26167,10.08611,1244.0,2007-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
174,,Mittelberg,47.32333,10.1525,1204.0,2009-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
175,,Innsbruck Flughafen,47.25999,11.35667,578.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
176,,Hahnenkamm-Ehrenbachhöhe,47.41831,12.35928,1793.8,1992-11-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
178,,Hochfilzen,47.47028,12.62111,961.9,2007-11-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
179,,Ramsau am Dachstein,47.42514,13.63428,1206.8,1991-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
180,,Rechnitz,47.30139,16.45417,307.5,2006-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,False,,,,,ja
181,,Bludenz,47.14778,9.82944,571.0,2007-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Vorarlberg,True,True,,,,,ja
182,,Oberwölz,47.20206,14.28669,842.1,2007-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
183,,Güssing,47.0625,16.32186,215.3,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
184,,Pitztaler Gletscher,46.92706,10.87914,2863.9,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
185,,St.Jakob im Defereggental,46.91694,12.35389,1383.0,2007-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
186,,Flattnitz,46.94083,14.03611,1437.2,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
187,,Friesach,46.95861,14.40583,640.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
188,,Völkermarkt-Goldbrunnhof,46.670834,14.639167,466.0,2008-07-23 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
189,,Melk,48.20972,15.33139,307.0,2008-09-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
190,,Frankenmarkt,47.99139,13.42306,565.0,2004-03-01 00:00:00+00:00,2017-03-25 23:59:59+00:00,Oberösterreich,False,True,,,,,ja
192,,Wachtberg bei Steyr,48.0475,14.46111,384.0,2008-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
193,,Jauerling,48.33447,15.33911,955.0,1995-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
196,,Patscherkofel,47.20889,11.46222,2251.0,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
197,,Seibersdorf,47.9765,16.50489,185.0,1982-06-21 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
198,,Pörtschach,46.63083,14.16528,450.0,1982-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
199,,Horn Wasserwerk,48.674999,15.643888,308.0,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
200,,Gleisdorf,47.11556,15.70806,377.3,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
201,,Weiz,47.218334,15.634444,465.7,2007-12-01 00:00:00+00:00,2013-05-31 23:59:59+00:00,Steiermark,True,True,,,,,ja
202,,Wörterberg,47.22619,16.09678,403.6,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
203,,Fresach,46.71528,13.68528,683.0,2008-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
204,,Kremsmünster,48.055,14.13111,382.0,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
205,,Feuerkogel,47.81667,13.71778,1618.0,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,ja
206,,Loibl Tunnel,46.44389,14.24917,1096.9,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Kärnten,True,True,,,,,ja
210,,St.Leonhard im Pitztal,47.02722,10.86556,1454.4,2008-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
213,,Sonnblick,47.05417,12.9575,3109.0,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,,,,ja
214,,Söll,47.50306,12.20028,697.0,2015-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Tirol,True,True,,,,,ja
215,,Gars am Kamp,48.59194,15.7,273.0,1999-03-10 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
217,,Kapfenberg Flugfeld,47.45833,15.33556,515.0,1997-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Steiermark,True,True,,,,,ja
218,,Andau,47.77,17.03556,117.0,1995-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,,,,ja
222,,Wolkersdorf,48.388056,16.508889,174.0,2023-06-19 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,ja
500,11021,Litschau,48.95464,15.03831,557.6,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,57,1983-11-01 00:00:00+00:00,,nein
726,11047,Raabs an der Thaya,48.84806,15.50194,458.5,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
905,11022,Retz,48.76111,15.94167,320.0,1993-11-11 15:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,81,1994-01-01 00:00:00+00:00,,nein
1401,11007,Kollerschlag,48.60278,13.83917,714.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,157,2008-06-17 00:00:00+00:00,,nein
1415,11008,Rohrbach,48.56961,13.99406,596.9,1994-06-29 12:10:00+00:00,2021-07-02 07:30:00+00:00,Oberösterreich,True,True,,77,1994-08-01 00:00:00+00:00,2021-10-14 23:59:59+00:00,nein
1416,11008,Rohrbach,48.56722,14.00444,613.0,2021-10-13 15:40:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,77,2021-10-15 00:00:00+00:00,,nein
1601,11015,Freistadt,48.506111,14.506111,549.0,1992-08-29 00:10:00+00:00,2014-08-04 00:00:00+00:00,Oberösterreich,True,True,,26,1992-01-01 00:00:00+00:00,2014-06-30 23:59:59+00:00,nein
1602,11068,Freistadt,48.49472,14.50639,539.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,26,2014-07-01 00:00:00+00:00,,nein
1730,8989083,Schwarzau im Freiwald,48.668056,14.739445,788.0,2022-10-07 18:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
1802,11025,Weitra,48.70222,14.89861,571.9,2003-08-21 12:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,148,2005-01-01 00:00:00+00:00,,nein
1906,11019,Allentsteig,48.69083,15.36694,598.8,1992-11-05 11:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,3,1992-10-01 00:00:00+00:00,,nein
1920,11020,Stift Zwettl,48.61778,15.20361,502.4,1994-09-30 12:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,89,1994-08-01 00:00:00+00:00,,nein
2114,11388,Horn,48.67056,15.65361,318.4,2006-01-01 00:00:00+00:00,2020-10-06 05:40:00+00:00,Niederösterreich,True,True,,199,2007-07-01 00:00:00+00:00,2019-12-31 23:59:59+00:00,nein
2115,11023,Gars am Kamp,48.59556,15.66778,267.0,2002-03-25 17:20:00+00:00,2016-05-20 00:00:00+00:00,Niederösterreich,True,True,,215,1999-03-10 00:00:00+00:00,2016-05-18 23:59:59+00:00,nein
2116,11064,Gars am Kamp,48.59194,15.7,273.0,2016-05-20 08:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,215,2016-05-20 00:00:00+00:00,,nein
2117,11297,Horn Wasserwerk,48.674999,15.643888,308.0,2019-04-15 09:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,199,2020-01-01 00:00:00+00:00,,nein
2207,11334,Schöngrabern,48.60333,16.06167,253.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,37,2008-01-01 00:00:00+00:00,,nein
2401,11335,Laa an der Thaya Kläranlage,48.73139,16.38972,184.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,152,2008-01-01 00:00:00+00:00,,nein
2415,11083,Leiser Berge,48.55889,16.37167,456.5,1999-09-27 12:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,67,1998-04-01 00:00:00+00:00,,nein
2430,11332,Mistelbach,48.57083,16.60944,191.0,2004-06-14 14:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
2503,11032,Poysdorf - Ost,48.66917,16.6375,198.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,70,1992-01-01 00:00:00+00:00,,nein
2601,11333,Hohenau,48.61639,16.90444,153.8,2006-01-01 00:00:00+00:00,2022-02-28 08:20:00+00:00,Niederösterreich,True,True,,158,2007-07-01 00:00:00+00:00,2022-02-28 08:20:59+00:00,nein
2602,11333,Hohenau,48.605835,16.913055,151.0,2022-03-02 09:50:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,158,2022-03-02 00:00:00+00:00,,nein
2902,11004,Reichersberg,48.33111,13.37611,351.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,159,2008-07-01 00:00:00+00:00,,nein
2910,11055,Schärding,48.46428,13.43453,306.7,1994-02-17 09:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
3111,11058,Waizenkirchen,48.32656,13.86458,400.2,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,160,2008-07-01 00:00:00+00:00,,nein
3202,11060,Linz-Stadt,48.29639,14.28528,262.0,1992-11-18 07:30:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,56,1992-07-01 00:00:00+00:00,,nein
3315,11050,Reichenau am Mühlkreis,48.45917,14.34556,689.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,161,2008-08-01 00:00:00+00:00,,nein
3425,11057,Bad Zell,48.355,14.66361,554.4,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
3520,11367,Bärnkopf,48.39111,15.00278,969.0,2003-10-30 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
3702,11024,Jauerling / ORF,48.33447,15.33911,955.0,1993-11-23 14:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,193,1995-07-01 00:00:00+00:00,,nein
3805,11070,Krems,48.41861,15.62222,202.0,1996-05-07 13:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,46,1996-04-01 00:00:00+00:00,,nein
3811,11075,Langenlois,48.4725,15.69722,207.0,1992-12-14 10:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,52,1989-11-01 00:00:00+00:00,,nein
4026,11027,Stockerau Flugplatz,48.409833,16.190861,210.0,2023-05-11 08:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
4030,8989109,Stockerau,48.39689,16.19261,203.3,2002-04-11 06:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
4081,11030,Langenlebarn,48.32389,16.11806,175.3,1992-10-21 11:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,51,1992-10-01 00:00:00+00:00,,nein
4115,11042,Wien Stammersdorf,48.30581,16.40556,190.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
4126,11045,Wolkersdorf,48.388056,16.508889,174.0,2023-06-19 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,222,2023-06-19 09:00:00+00:00,,nein
4224,11048,Gänserndorf Stadt,48.33778,16.71361,163.0,2002-11-13 09:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,134,2004-01-01 00:00:00+00:00,,nein
4305,11085,Zwerndorf,48.33806,16.83139,143.5,1997-03-20 11:20:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
4501,11051,Ranshofen Braunau,48.22417,13.02833,382.0,1994-06-28 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,75,1994-07-01 00:00:00+00:00,,nein
4515,11061,Ostermiething,48.05306,12.83167,412.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4601,11062,Aspach,48.18306,13.3,427.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,162,2009-07-08 00:00:00+00:00,,nein
4611,11049,Mattighofen,48.09722,13.15111,459.8,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4705,11053,Ried im Innkreis,48.21722,13.475,427.0,1997-06-16 12:20:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,141,1998-01-01 00:00:00+00:00,,nein
4802,11067,Gallspach,48.20422,13.82506,425.9,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,27,2012-04-16 00:00:00+00:00,,nein
4815,11001,Wolfsegg,48.10542,13.67092,635.1,1995-05-30 10:50:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,111,1995-06-01 00:00:00+00:00,,nein
4821,11056,Vöcklabruck,48.00667,13.64556,432.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4905,11059,Wels - Schleissheim,48.16278,14.07139,309.0,1992-08-29 00:10:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
5000,11010,Linz Hörsching Flughafen,48.23528,14.18806,298.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
5012,11012,Kremsmünster,48.055,14.13111,382.0,1993-03-16 14:40:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,204,2009-01-01 00:00:00+00:00,,nein
5116,11374,Wachtberg bei Steyr,48.0475,14.46111,384.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,192,2008-08-01 00:00:00+00:00,,nein
5130,11002,Enns,48.19583,14.45028,317.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,23,2008-07-01 00:00:00+00:00,,nein
5315,11018,Amstetten Kläranlage,48.10806,14.89861,265.0,1993-05-25 12:20:00+00:00,2000-06-30 23:00:00+00:00,Niederösterreich,True,True,,4,1993-02-01 00:00:00+00:00,2000-06-30 23:59:59+00:00,nein
5316,11018,Amstetten,48.10889,14.895,266.0,2000-06-30 23:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,4,2000-07-01 00:00:00+00:00,,nein
5412,11376,Oberndorf Melk,48.06239,15.21381,295.1,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,155,2008-01-01 00:00:00+00:00,,nein
5413,11054,Melk,48.20972,15.33139,307.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,189,2008-09-25 00:00:00+00:00,,nein
5421,11379,Wieselburg,48.12731,15.14672,258.7,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5604,,St.Pölten Kopalkaserne,48.180279,15.611111,285.0,1994-04-13 09:40:00+00:00,2005-06-13 13:20:00+00:00,Niederösterreich,True,True,,93,1994-01-01 00:00:00+00:00,2003-06-30 23:59:59+00:00,nein
5609,11389,St. Pölten Landhaus,48.19972,15.63111,273.6,2003-07-04 08:40:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,93,2003-07-01 00:00:00+00:00,,nein
5625,11078,Lilienfeld - Tarschberg,48.02806,15.5875,696.0,1993-04-15 10:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5701,11391,Klausen Leopoldsdorf,48.08864,16.00161,389.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5725,11031,Kohlreithberg,48.175835,15.935278,490.0,2002-06-01 00:10:00+00:00,2010-06-08 00:00:00+00:00,Niederösterreich,True,True,,125,2001-07-01 00:00:00+00:00,2010-06-17 23:59:59+00:00,nein
5735,11066,Buchberg,48.21362,15.94495,460.3,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5802,11044,Wien-Jubliäumswarte,48.22111,16.26528,450.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5805,11080,Wien Mariabrunn,48.20694,16.22944,225.0,1997-02-17 12:20:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,106,1997-01-16 00:00:00+00:00,,nein
5820,11077,Brunn am Gebirge,48.10694,16.27,290.6,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5870,11081,Baden,48.011391,16.235556,244.8,1992-08-29 00:10:00+00:00,2012-05-31 00:00:00+00:00,Niederösterreich,True,False,,12,1982-12-01 00:00:00+00:00,2012-05-31 23:59:59+00:00,nein
5881,11082,Gumpoldskirchen,48.04028,16.28222,219.0,1994-04-14 10:00:00+00:00,2018-03-29 23:50:00+00:00,Niederösterreich,True,True,,32,1990-11-01 00:00:00+00:00,2018-03-28 23:59:59+00:00,nein
5882,11082,Gumpoldskirchen,48.03583,16.28083,212.0,2018-03-30 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,32,2018-03-29 00:00:00+00:00,,nein
5904,11033,Wien Hohe Warte,48.24861,16.35639,198.0,1992-05-20 06:10:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,105,1993-01-01 00:00:00+00:00,,nein
5917,11040,Wien Unterlaa,48.125,16.41944,200.0,1997-09-09 13:20:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,107,1996-01-01 00:00:00+00:00,,nein
5925,11034,Wien Innere Stadt,48.19833,16.36694,177.0,1994-05-13 08:40:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5935,11090,Wien Donaufeld,48.25722,16.43139,160.0,2001-06-15 09:30:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5972,11037,Groß-Enzersdorf,48.19975,16.55917,154.3,1994-01-12 17:10:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,31,1991-01-01 00:00:00+00:00,,nein
5990,11036,Schwechat Flughafen,48.1175,16.58139,183.0,2006-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
